"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/1999","290.70","290.70","290.70","290.70","","-1.29%"
"12/29/1999","294.50","293.90","298.50","293.60","0.61K","1.03%"
"12/28/1999","291.50","289.70","292.50","289.30","11.90K","0.59%"
"12/27/1999","289.80","287.90","290.10","287.90","5.82K","0.45%"
"12/23/1999","288.50","289.40","289.40","287.10","11.22K","-0.07%"
"12/22/1999","288.70","289.30","291.90","287.30","10.54K","-0.07%"
"12/21/1999","288.90","286.20","289.30","284.10","23.48K","1.01%"
"12/20/1999","286.00","285.40","286.70","285.30","7.45K","0.18%"
"12/17/1999","285.50","284.10","287.50","283.30","23.14K","0.60%"
"12/16/1999","283.80","285.00","285.20","281.70","21.00K","-0.28%"
"12/15/1999","284.60","282.50","285.80","281.30","23.63K","0.92%"
"12/14/1999","282.00","281.50","283.40","281.00","15.27K","-0.04%"
"12/13/1999","282.10","281.00","282.60","280.50","12.34K","0.39%"
"12/10/1999","281.00","280.20","283.70","279.30","16.01K","0.25%"
"12/09/1999","280.30","283.90","284.40","280.20","18.32K","-1.34%"
"12/08/1999","284.10","286.00","288.50","282.90","31.00K","-0.46%"
"12/07/1999","285.40","278.70","285.90","278.60","23.43K","2.59%"
"12/06/1999","278.20","282.50","282.50","276.20","26.67K","-1.38%"
"12/03/1999","282.10","287.30","287.40","281.90","28.87K","-1.74%"
"12/02/1999","287.10","291.90","292.00","286.00","44.89K","-1.64%"
"12/01/1999","291.90","293.00","294.00","290.80","17.72K","-0.38%"
"11/30/1999","293.00","293.60","294.90","292.90","21.07K","-0.17%"
"11/29/1999","293.50","301.00","301.00","292.40","43.26K","-2.33%"
"11/24/1999","300.50","300.50","300.50","300.50","","0.27%"
"11/23/1999","299.70","300.00","300.00","300.00","0.00K","1.11%"
"11/22/1999","296.40","296.40","296.40","296.40","","-0.03%"
"11/19/1999","296.50","296.50","296.50","296.50","","0.17%"
"11/18/1999","296.00","296.00","296.00","296.00","","-0.20%"
"11/17/1999","296.60","296.60","296.60","296.60","","0.14%"
"11/16/1999","296.20","296.20","296.20","296.20","","0.99%"
"11/15/1999","293.30","293.30","293.30","293.30","","0.10%"
"11/12/1999","293.00","293.00","293.00","293.00","","-0.91%"
"11/11/1999","295.70","295.70","295.70","295.70","0.00K","-1.40%"
"11/10/1999","299.90","295.50","295.50","295.50","0.00K","2.04%"
"11/09/1999","293.90","293.90","293.90","293.90","","0.72%"
"11/08/1999","291.80","291.80","291.80","291.80","","0.03%"
"11/05/1999","291.70","291.70","291.70","291.70","","-0.92%"
"11/04/1999","294.40","294.40","294.40","294.40","","0.10%"
"11/03/1999","294.10","294.10","294.10","294.10","","0.34%"
"11/02/1999","293.10","293.10","293.10","293.10","","0.31%"
"11/01/1999","292.20","292.20","292.20","292.20","","-2.92%"
"10/29/1999","301.00","301.00","301.00","301.00","","-0.30%"
"10/28/1999","301.90","296.00","303.50","296.00","5.62K","2.62%"
"10/27/1999","294.20","290.40","295.00","287.60","36.40K","1.31%"
"10/26/1999","290.40","300.50","300.50","289.60","58.44K","-3.36%"
"10/25/1999","300.50","303.00","303.90","299.00","25.24K","-0.92%"
"10/22/1999","303.30","305.60","306.40","302.10","23.90K","-0.72%"
"10/21/1999","305.50","307.30","307.90","302.20","36.52K","-0.59%"
"10/20/1999","307.30","309.50","312.20","305.80","23.92K","-0.71%"
"10/19/1999","309.50","311.90","312.60","306.20","33.07K","-0.71%"
"10/18/1999","311.70","317.20","319.20","311.10","31.74K","-1.49%"
"10/15/1999","316.40","314.20","318.50","314.20","30.98K","0.70%"
"10/14/1999","314.20","322.10","324.90","312.30","47.34K","-2.36%"
"10/13/1999","321.80","318.50","325.30","316.90","34.08K","1.13%"
