Date,Price,Open,High,Low,Vol.,Change %
12/31/1984,311.7,311.70,311.70,311.70,,-0.10%
12/28/1984,312,312.00,312.00,312.00,,0.91%
12/27/1984,309.2,310.50,312.00,307.30,20.43K,-1.59%
12/26/1984,314.2,313.80,315.60,313.50,10.94K,0.32%
12/21/1984,313.2,313.00,315.00,310.60,19.46K,1.16%
12/20/1984,309.6,307.20,311.50,306.60,33.96K,-0.48%
12/19/1984,311.1,312.20,313.40,310.00,23.56K,-0.13%
12/18/1984,311.5,311.00,314.20,309.50,39.64K,-1.70%
12/17/1984,316.9,320.30,320.70,316.30,35.22K,-2.61%
12/14/1984,325.4,324.00,328.20,324.00,32.08K,-0.73%
12/13/1984,327.8,328.90,329.20,327.00,19.00K,-0.52%
12/12/1984,329.5,328.70,333.50,327.00,33.49K,0.06%
12/11/1984,329.3,330.50,331.50,327.50,24.85K,-0.03%
12/10/1984,329.4,330.70,331.20,328.80,19.90K,-0.42%
12/07/1984,330.8,333.50,333.50,328.00,24.91K,-1.17%
12/06/1984,334.7,335.40,335.80,333.70,19.29K,0.12%
12/05/1984,334.3,334.80,335.50,333.20,20.08K,0.06%
12/04/1984,334.1,335.80,337.00,334.00,21.44K,-0.60%
12/03/1984,336.1,332.50,336.60,332.20,28.46K,0.78%
11/30/1984,333.5,333.20,334.30,331.80,22.74K,-0.57%
11/29/1984,335.4,335.80,336.80,334.70,20.16K,-0.06%
11/28/1984,335.6,333.00,338.70,332.10,20.08K,1.76%
11/27/1984,329.8,329.80,329.80,329.80,,-1.23%
11/26/1984,333.9,333.90,333.90,333.90,,-2.65%
11/23/1984,343,343.00,343.00,343.00,,-0.69%
11/21/1984,345.4,345.40,345.40,345.40,,-0.29%
11/20/1984,346.4,346.40,346.40,346.40,,0.14%
11/19/1984,345.9,345.90,345.90,345.90,,-0.49%
11/16/1984,347.6,347.60,347.60,347.60,,-0.26%
11/15/1984,348.5,348.50,348.50,348.50,,-0.57%
11/14/1984,350.5,350.50,350.50,350.50,,0.03%
11/13/1984,350.4,350.40,350.40,350.40,,-0.43%
11/12/1984,351.9,351.90,351.90,351.90,,0.49%
11/09/1984,350.2,350.20,350.20,350.20,,-0.62%
11/08/1984,352.4,352.40,352.40,352.40,,-0.82%
11/07/1984,355.3,355.30,355.30,355.30,,1.51%
11/06/1984,350,350.00,350.00,350.00,,-0.71%
11/05/1984,352.5,352.50,352.50,352.50,,1.23%
11/02/1984,348.2,348.20,348.20,348.20,,2.17%
11/01/1984,340.8,340.80,340.80,340.80,,0.59%
10/31/1984,338.8,338.80,338.80,338.80,,-0.15%
10/30/1984,339.3,339.30,339.30,339.30,,-1.31%
10/29/1984,343.8,344.00,345.00,343.00,2.36K,1.03%
10/26/1984,340.3,340.80,342.50,340.00,20.91K,-0.03%
10/25/1984,340.4,341.70,345.00,339.50,39.17K,-0.73%
10/24/1984,342.9,344.30,344.50,342.70,12.11K,-0.15%
10/23/1984,343.4,343.80,344.20,342.50,16.81K,0.41%
10/22/1984,342,341.60,343.10,341.10,15.41K,-0.12%
10/19/1984,342.4,343.80,345.30,341.20,23.88K,-0.55%
10/18/1984,344.3,341.00,345.00,340.50,32.79K,1.06%
10/17/1984,340.7,345.80,345.80,339.00,26.77K,-0.73%
10/16/1984,343.2,344.20,344.80,342.40,16.83K,-0.58%
10/15/1984,345.2,342.50,345.80,342.30,22.80K,-0.32%
10/12/1984,346.3,342.40,347.00,342.00,31.91K,1.46%
10/11/1984,341.3,342.80,344.40,338.00,30.57K,-0.67%
10/10/1984,343.6,343.00,344.20,342.00,25.21K,0.47%
10/09/1984,342,346.00,346.50,340.80,35.60K,-1.67%
10/08/1984,347.8,348.00,348.30,346.40,14.46K,0.23%
10/05/1984,347,351.00,351.20,346.30,30.77K,-1.64%
10/04/1984,352.8,352.50,353.10,351.60,14.00K,0.26%
10/03/1984,351.9,354.30,355.80,350.50,34.85K,-0.42%
10/02/1984,353.4,351.80,354.30,351.00,28.45K,0.71%
10/01/1984,350.9,352.00,352.50,349.80,16.73K,-0.11%
09/28/1984,351.3,349.50,351.50,348.30,15.76K,0.29%
09/27/1984,350.3,350.00,352.70,348.60,20.47K,0.46%
09/26/1984,348.7,353.30,356.10,348.50,37.04K,0.81%
09/25/1984,345.9,349.10,349.10,349.10,,0.03%
09/24/1984,345.8,349.00,349.00,349.00,,-0.60%
09/21/1984,347.9,351.10,351.10,351.10,,1.43%
09/20/1984,343,346.20,346.20,346.20,,0.38%
09/19/1984,341.7,344.90,344.90,344.90,,-0.06%
09/18/1984,341.9,345.10,345.10,345.10,,1.42%
09/17/1984,337.1,340.30,340.30,340.30,,-1.32%
09/14/1984,341.6,344.80,344.80,344.80,,0.59%
09/13/1984,339.6,343.00,343.00,343.00,,-0.18%
09/12/1984,340.2,343.50,343.50,343.50,,-0.26%
09/11/1984,341.1,344.40,344.40,344.40,,0.18%
09/10/1984,340.5,344.00,344.00,344.00,0.01K,0.86%
09/07/1984,337.6,341.00,341.00,341.00,,-2.40%
09/06/1984,345.9,349.30,349.30,349.30,,1.11%
09/05/1984,342.1,345.40,345.40,345.40,,0.44%
09/04/1984,340.6,343.90,343.90,343.90,,-4.86%
09/03/1984,358,358.00,358.00,358.00,,1.94%
08/31/1984,351.2,354.60,354.60,354.60,,-0.06%
08/30/1984,351.4,354.60,354.60,354.60,,-0.51%
08/29/1984,353.2,353.20,353.20,353.20,,0.37%
08/28/1984,351.9,352.10,355.00,351.00,0.92K,-0.06%
08/27/1984,352.1,355.00,355.00,350.00,0.56K,-0.96%
08/24/1984,355.5,354.50,356.50,352.30,0.55K,0.54%
08/23/1984,353.6,356.30,359.00,351.50,2.10K,-1.28%
08/22/1984,358.2,350.20,361.00,349.00,1.34K,2.26%
08/21/1984,350.3,348.50,351.20,346.80,1.66K,0.66%
08/20/1984,348,353.50,354.10,347.00,2.35K,-2.08%
08/17/1984,355.4,355.80,357.80,354.50,0.60K,0.03%
08/16/1984,355.3,356.00,358.20,354.50,1.01K,-1.00%
08/15/1984,358.9,358.20,361.00,354.80,2.15K,-0.28%
08/14/1984,359.9,356.50,362.50,355.50,4.71K,1.12%
08/13/1984,355.9,347.00,359.00,346.80,2.65K,2.27%
08/10/1984,348,355.50,355.50,347.30,2.02K,-1.83%
08/09/1984,354.5,349.60,355.00,348.70,1.57K,1.31%
08/08/1984,349.9,351.50,352.00,349.00,1.70K,0.11%
08/07/1984,349.5,347.00,350.50,346.30,2.76K,-1.44%
08/06/1984,354.6,358.70,358.90,352.00,3.01K,-0.45%
08/03/1984,356.2,356.20,358.50,353.20,5.17K,1.68%
08/02/1984,350.3,351.00,354.50,347.50,3.72K,-0.26%
08/01/1984,351.2,343.70,353.20,342.00,3.85K,2.24%
07/31/1984,343.5,348.50,349.50,341.00,4.54K,-1.35%
07/30/1984,348.2,344.50,348.80,343.50,4.13K,-0.03%
07/27/1984,348.3,342.00,349.50,338.00,7.95K,3.38%
07/26/1984,336.9,336.90,336.90,336.90,,-2.88%
07/25/1984,346.9,346.90,346.90,346.90,0.03K,1.73%
07/24/1984,341,341.00,341.00,341.00,,0.00%
07/23/1984,341,341.00,341.00,341.00,,-0.67%
07/20/1984,343.3,342.50,342.50,342.50,0.00K,-2.39%
07/19/1984,351.7,351.70,351.70,351.70,0.01K,-0.57%
07/18/1984,353.7,353.70,353.70,353.70,0.01K,0.86%
07/17/1984,350.7,350.70,350.70,350.70,0.01K,-0.71%
07/16/1984,353.2,353.20,353.20,353.20,,1.15%
07/13/1984,349.2,349.20,349.20,349.20,0.00K,1.84%
07/12/1984,342.9,342.90,342.90,342.90,,-1.10%
07/11/1984,346.7,346.50,346.50,346.50,0.00K,-0.57%
07/10/1984,348.7,349.50,349.50,349.50,0.01K,-1.27%
07/09/1984,353.2,353.20,353.20,353.20,0.03K,0.74%
07/06/1984,350.6,350.60,350.60,350.60,0.00K,-4.13%
07/05/1984,365.7,365.70,365.70,365.70,0.01K,-2.74%
07/03/1984,376,376.00,376.00,376.00,,-0.34%
07/02/1984,377.3,377.30,377.30,377.30,,-0.66%
06/29/1984,379.8,379.80,379.80,379.80,,-0.21%
06/28/1984,380.6,380.60,380.60,380.60,0.00K,-0.10%
06/27/1984,381,379.70,381.80,379.50,0.26K,1.74%
06/26/1984,374.5,374.50,374.60,373.20,16.00K,0.54%
06/25/1984,372.5,374.00,374.00,370.00,30.46K,-1.09%
06/22/1984,376.6,381.00,381.40,376.00,26.29K,-0.26%
06/21/1984,377.6,375.00,380.00,374.80,35.70K,0.27%
06/20/1984,376.6,375.20,376.70,373.40,33.28K,0.21%
06/19/1984,375.8,375.20,377.90,374.70,21.96K,0.03%
06/18/1984,375.7,372.60,375.90,371.70,23.65K,0.11%
06/15/1984,375.3,377.00,377.30,371.50,34.44K,-1.21%
06/14/1984,379.9,381.30,381.80,379.50,20.91K,0.18%
06/13/1984,379.2,380.30,381.00,377.50,23.39K,-0.08%
06/12/1984,379.5,380.30,380.80,375.30,41.86K,0.16%
06/11/1984,378.9,389.00,389.50,377.50,58.13K,-2.72%
06/08/1984,389.5,393.50,393.70,389.00,28.35K,-1.74%
06/07/1984,396.4,398.00,399.20,396.00,21.34K,-0.63%
06/06/1984,398.9,398.00,400.00,396.80,24.27K,-0.55%
06/05/1984,401.1,402.00,403.20,399.00,31.58K,-0.27%
06/04/1984,402.2,400.00,402.80,396.50,38.17K,1.31%
06/01/1984,397,399.30,405.30,396.00,58.49K,0.86%
05/31/1984,393.6,390.50,395.50,390.30,26.28K,0.51%
05/30/1984,391.6,393.50,394.50,390.50,28.10K,-0.18%
05/29/1984,392.3,392.50,394.00,391.80,27.39K,-0.30%
05/25/1984,393.5,388.80,388.80,388.00,0.03K,2.88%
05/24/1984,382.5,382.50,382.50,382.50,,0.47%
05/23/1984,380.7,380.70,380.70,380.70,0.00K,-0.83%
05/22/1984,383.9,383.90,383.90,383.90,0.00K,0.08%
05/21/1984,383.6,383.60,383.60,383.60,0.01K,0.13%
05/18/1984,383.1,383.10,383.10,383.10,0.00K,0.84%
05/17/1984,379.9,380.50,380.50,380.50,0.00K,-0.45%
05/16/1984,381.6,380.80,380.80,380.80,0.00K,0.42%
05/15/1984,380,380.00,380.00,380.00,,0.26%
05/14/1984,379,379.00,379.00,379.00,0.00K,0.58%
05/11/1984,376.8,376.80,376.80,376.80,0.07K,-0.45%
05/10/1984,378.5,378.50,378.50,378.50,,0.45%
05/09/1984,376.8,376.80,376.80,376.80,,-0.69%
05/08/1984,379.4,379.40,379.40,379.40,,0.40%
05/07/1984,377.9,380.10,380.50,379.90,0.01K,-1.05%
05/04/1984,381.9,383.00,383.00,381.50,0.00K,-0.73%
05/03/1984,384.7,384.70,384.70,384.70,,-0.08%
